,words,count
1354,yesterday,5
1355,eyelids,5
1356,moves,5
1357,prayers,5
1358,pot,5
1359,dig,5
1360,folk,5
1361,piled,5
1362,monastery,5
1363,pepper,5
1364,honor,5
1365,brandy,5
1366,clarity,5
1367,despise,5
1368,catches,5
1369,nebregovo,5
1370,perhaps,5
1371,graves,5
1372,persistently,5
1373,tortured,4
1374,neighbor,4
1375,honest,4
1376,caresses,4
1377,division,4
1378,eyelid,4
1379,listened,4
1380,sandy,4
1381,core,4
1382,flat,4
1383,bullets,4
1384,collapses,4
1385,steel,4
1386,flashes,4
1387,cradle,4
1388,disease,4
1389,persecuted,4
1390,hungry,4
1391,roof,4
1392,descended,4
1393,struggled,4
1394,winters,4
1395,leafy,4
1396,summers,4
1397,board,4
1398,flames,4
1399,hometown,4
1400,rear,4
1401,tip,4
1402,falcons,4
1403,celebrated,4
1404,sublime,4
1405,revealed,4
1406,sang,4
1407,foundation,4
1408,guest,4
1409,squeezes,4
1410,dancing,4
1411,shackles,4
1412,zinat,4
1413,brides,4
1414,prey,4
1415,bully,4
1416,leg,4
1417,slavery,4
1418,rejoice,4
1419,crumble,4
1420,kobe,4
1421,slaves,4
1422,sank,4
1423,lined,4
1424,soil,4
1425,cars,4
1426,across,4
1427,divides,4
1428,short,4
1429,veda,4
1430,shone,4
1431,sinks,4
1432,peak,4
1433,gets,4
1434,springs,4
1435,ve,4
1436,vision,4
1437,freeze,4
1438,blush,4
1439,build,4
1440,personality,4
1441,sleeps,4
1442,true,4
1443,puppy,4
1444,flew,4
1445,oars,4
1446,shattered,4
1447,bent,4
1448,leaf,4
1449,ruined,4
1450,icy,4
1451,flowing,4
1452,farewell,4
1453,stated,4
1454,chase,4
1455,promises,4
1456,foggy,4
1457,necessary,4
1458,friendship,4
1459,celebration,4
1460,carpet,4
1461,ores,4
1462,almost,4
1463,twists,4
1464,whale,4
1465,greetings,4
1466,respect,4
1467,dull,4
1468,cunning,4
1469,hiding,4
1470,closeness,4
1471,aware,4
1472,male,4
1473,available,4
1474,exhales,4
1475,roosters,4
1476,daily,4
1477,second,4
1478,promenade,4
1479,wrap,4
1480,neck,4
1481,kalemegdan,4
1482,listens,4
1483,essence,4
1484,submissive,4
1485,hit,4
1486,wilderness,4
1487,towers,4
1488,upside,4
1489,collected,4
1490,cheese,4
1491,host,4
1492,beans,4
1493,shoot,4
1494,otherwise,4
1495,childish,4
1496,quickly,4
1497,doing,4
1498,sat,4
1499,arranged,4
1500,unconsciously,4
1501,ago,4
1502,separates,4
1503,deceive,4
1504,attitude,4
1505,embers,4
1506,fade,4
1507,plowman,4
1508,apartment,4
1509,nedelkovski,4
1510,flipping,4
1511,miladinovci,4
1512,currently,4
1513,pleasant,4
1514,sets,4
1515,beautifully,4
1516,worded,4
1517,unstoppable,4
1518,frog,4
1519,envelop,4
1520,hesitant,4
1521,plains,4
1522,ridges,4
1523,chill,4
1524,proceed,4
1525,cole,4
1526,engaged,4
1527,prepared,4
1528,resolved,4
1529,enjoyment,4
1530,inhabitants,4
1531,sleeves,4
1532,spike,4
1533,eggs,4
1534,stack,4
1535,vividly,4
1536,electricity,4
1537,tranquility,4
1538,ancients,4
1539,reconstruction,4
1540,frightens,4
1541,drunkenness,4
1542,crave,4
1543,beaten,4
1544,subsides,4
1545,cheat,4
1546,withstand,4
1547,congestion,4
1548,embarked,4
1549,draw,4
1550,infuse,4
1551,repressed,4
1552,form,4
1553,creators,4
1554,suspicions,4
1555,overflowing,4
1556,canopies,4
1557,twins,4
1558,unexpected,4
1559,shiver,4
1560,faithfulness,4
1561,rushing,4
1562,inviting,4
1563,afflicted,4
1564,longawaited,4
1565,shakes,4
1566,event,4
1567,daughter,4
1568,betrayal,4
1569,exactly,4
1570,groove,4
1571,beggar,4
1572,proud,4
1573,torment,4
1574,shirt,4
1575,traveler,4
1576,lived,4
1577,indifferent,4
1578,branch,4
1579,apples,4
1580,candles,4
1581,worth,4
1582,blurred,4
1583,thinking,4
1584,valley,4
1585,joint,4
1586,hopeful,4
1587,harder,4
1588,deepest,4
1589,scattered,4
1590,waking,4
1591,hundred,4
1592,bundle,4
1593,seem,4
1594,desperately,4
1595,indifference,4
1596,ruins,4
1597,hatred,4
1598,dame,4
1599,creeping,4
1600,abyss,4
1601,staring,4
1602,smiling,4
1603,mature,4
1604,layer,4
1605,strumica,4
1606,stepped,4
1607,temple,4
1608,judgment,4
1609,vine,4
1610,horizon,4
1611,powder,4
1612,certainly,4
1613,insignificant,4
1614,fish,4
1615,swing,4
1616,george,4
1617,whom,4
1618,dried,4
1619,discover,4
1620,depends,4
1621,earthly,4
1622,despises,4
1623,crooked,4
1624,worm,4
1625,moments,4
1626,gratitude,4
1627,rays,4
1628,task,4
1629,chaff,4
1630,desperate,4
1631,grain,4
1632,five,4
1633,john,4
1634,welcomed,4
1635,burden,4
1636,depths,4
1637,bug,4
1638,created,4
1639,fuck,4
1640,released,4
1641,hell,4
1642,happening,4
1643,supported,4
1644,seasons,4
1645,angels,4
1646,notice,4
1647,cistern,4
1648,seventy,4
1649,female,4
1650,eagerly,4
1651,cat,4
1652,sweat,4
1653,subside,4
1654,cure,4
1655,random,4
1656,confused,4
1657,duke,4
1658,taught,4
1659,stroke,4
1660,guide,4
1661,kiss,4
1662,defeated,4
1663,blame,4
1664,less,4
1665,welcome,4
1666,nicholas,4
1667,grandchildren,4
1668,homemade,4
1669,wonder,4
1670,higher,4
1671,crack,4
1672,zlatovrv,4
1673,blessing,4
1674,gap,4
1675,cup,4
1676,lozeno,4
1677,solid,4
1678,terrace,4
1679,weather,3
1680,irreversibly,3
1681,dreamed,3
1682,blocked,3
1683,block,3
1684,burial,3
1685,harsh,3
1686,fun,3
1687,rug,3
1688,flower,3
1689,heels,3
1690,placed,3
1691,closed,3
1692,plain,3
1693,spine,3
1694,taking,3
1695,rallies,3
1696,horrible,3
1697,screaming,3
1698,caring,3
1699,fondly,3
1700,gear,3
1701,crush,3
1702,caressed,3
1703,smolders,3
1704,ember,3
1705,stood,3
1706,hardness,3
1707,bend,3
1708,handsome,3
1709,bottom,3
1710,tormented,3
1711,sura,3
1712,whistle,3
1713,rattle,3
1714,passion,3
1715,number,3
1716,arrange,3
1717,ran,3
1718,blew,3
1719,court,3
1720,collect,3
1721,chicken,3
1722,royal,3
1723,greek,3
1724,executioner,3
1725,smoldering,3
1726,equal,3
1727,screamed,3
1728,stick,3
1729,bites,3
1730,scarf,3
1731,guards,3
1732,vile,3
1733,purple,3
1734,furrow,3
1735,native,3
